#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,1,1	107	313814094	COUNT	minutes	seconds	0.061017	0.000023	0.314344	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	minutes	0.003332	0.000017	0.019578	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	hours	0.000314	0.000033	0.001483	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	days	0.000037	0.000030	0.000165	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	months	0.000006	0.000028	0.000039	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	seconds	0.066169	0.000010	0.322869	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	minutes	0.006000	0.000013	0.033171	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	hours	0.000610	0.000036	0.002800	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	days	0.000044	0.000027	0.000200	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	months	0.000005	0.000047	0.000040	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	seconds	0.057099	0.000025	0.323810	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	minutes	0.008592	0.000026	0.037498	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	hours	0.001381	0.000024	0.006052	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	days	0.000091	0.000004	0.000396	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	months	0.000009	0.000025	0.000044	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	seconds	0.045716	0.000015	0.323824	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	minutes	0.007332	0.000023	0.037797	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	hours	0.001584	0.000024	0.007166	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	days	0.000131	0.000028	0.000813	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	months	0.000012	0.000015	0.000094	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	years	seconds	0.495025	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	seconds	0.025877	0.000017	0.009529	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	minutes	0.002090	0.000034	0.000330	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	hours	0.000335	0.000000	0.000023	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	days	0.000040	0.000034	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	months	0.000005	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	seconds	0.066008	0.000022	0.045979	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	minutes	0.002024	0.000023	0.000352	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	hours	0.000325	0.000027	0.000023	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	days	0.000040	0.000040	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	months	0.000005	0.000028	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	seconds	0.077748	0.000020	0.048279	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	minutes	0.003872	0.000016	0.000507	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	hours	0.000390	0.000021	0.000026	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	days	0.000036	0.000030	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	months	0.000005	0.000037	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	seconds	0.093652	0.000013	0.048463	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	minutes	0.007384	0.000024	0.000646	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	hours	0.000820	0.000019	0.000036	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	days	0.000046	0.000033	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	months	0.000006	0.000063	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	seconds	0.081050	0.000004	0.048488	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	minutes	0.009645	0.000023	0.000681	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	hours	0.001404	0.000036	0.000052	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	days	0.000089	0.000045	0.000003	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	months	0.000010	0.000066	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	seconds	0.053493	0.000022	0.048489	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	minutes	0.008018	0.000031	0.000683	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	hours	0.001584	0.000012	0.000056	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	days	0.000174	0.000028	0.000004	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	months	0.000015	0.000015	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	years	seconds	0.984670	0.000000	2.000000	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	seconds	0.020130	0.000068	0.096839	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	minutes	0.001577	0.000085	0.007163	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	hours	0.000222	0.000043	0.000953	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	days	0.000035	0.000034	0.000145	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	months	0.000007	0.000273	0.000028	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	seconds	0.046000	0.000032	0.213491	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	minutes	0.001645	0.000035	0.008006	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	hours	0.000227	0.000032	0.000959	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	days	0.000036	0.000043	0.000145	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	months	0.000007	0.000039	0.000028	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	minutes	seconds	0.060463	0.000022	0.309379	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	minutes	minutes	0.003865	0.000037	0.016121	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	minutes	hours	0.000283	0.000029	0.001162	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	minutes	days	0.000032	0.000052	0.000144	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	minutes	months	0.000007	0.000060	0.000028	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	hours	seconds	0.067300	0.000038	0.322742	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	hours	minutes	0.006206	0.000013	0.031443	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	hours	hours	0.000553	0.000036	0.002313	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	hours	days	0.000035	0.000042	0.000154	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	hours	months	0.000004	0.000067	0.000027	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	days	seconds	0.057092	0.000027	0.323797	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	days	minutes	0.008674	0.000020	0.037279	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	days	hours	0.001285	0.000033	0.005505	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	days	days	0.000076	0.000056	0.000312	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	days	months	0.000007	0.000056	0.000034	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	months	seconds	0.045786	0.000031	0.323833	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	months	minutes	0.007302	0.000025	0.037759	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	months	hours	0.001491	0.000000	0.006956	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	months	days	0.000144	0.000038	0.000691	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	months	months	0.000016	0.000000	0.000077	0.000000
rationalPower1,4,2,1	174	313814094	COUNT	years	seconds	0.495026	0.000000	2.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	seconds	0.021414	0.000034	0.009086	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	minutes	0.001710	0.000034	0.000298	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	hours	0.000257	0.000043	0.000020	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	days	0.000039	0.000138	0.000002	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	months	0.000008	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	seconds	0.062270	0.000030	0.045620	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	minutes	0.001801	0.000032	0.000319	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	hours	0.000252	0.000044	0.000020	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	days	0.000040	0.000041	0.000002	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	months	0.000008	0.000037	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	minutes	seconds	0.078135	0.000024	0.048178	0.000000
rationalPower1,4,2,1	174	313814094	SUM	minutes	minutes	0.003813	0.000012	0.000463	0.000000
rationalPower1,4,2,1	174	313814094	SUM	minutes	hours	0.000290	0.000042	0.000023	0.000000
rationalPower1,4,2,1	174	313814094	SUM	minutes	days	0.000035	0.000035	0.000001	0.000000
rationalPower1,4,2,1	174	313814094	SUM	minutes	months	0.000007	0.000037	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	hours	seconds	0.095042	0.000027	0.048475	0.000000
rationalPower1,4,2,1	174	313814094	SUM	hours	minutes	0.007403	0.000031	0.000631	0.000000
rationalPower1,4,2,1	174	313814094	SUM	hours	hours	0.000616	0.000026	0.000032	0.000000
rationalPower1,4,2,1	174	313814094	SUM	hours	days	0.000039	0.000042	0.000002	0.000000
rationalPower1,4,2,1	174	313814094	SUM	hours	months	0.000005	0.000075	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	days	seconds	0.080992	0.000028	0.048488	0.000000
rationalPower1,4,2,1	174	313814094	SUM	days	minutes	0.009679	0.000029	0.000679	0.000000
rationalPower1,4,2,1	174	313814094	SUM	days	hours	0.001302	0.000028	0.000050	0.000000
rationalPower1,4,2,1	174	313814094	SUM	days	days	0.000077	0.000038	0.000002	0.000000
rationalPower1,4,2,1	174	313814094	SUM	days	months	0.000008	0.000066	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	months	seconds	0.053464	0.000017	0.048489	0.000000
rationalPower1,4,2,1	174	313814094	SUM	months	minutes	0.008162	0.000037	0.000683	0.000000
rationalPower1,4,2,1	174	313814094	SUM	months	hours	0.001657	0.000036	0.000055	0.000000
rationalPower1,4,2,1	174	313814094	SUM	months	days	0.000175	0.000060	0.000003	0.000000
rationalPower1,4,2,1	174	313814094	SUM	months	months	0.000017	0.000015	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	SUM	years	seconds	0.984671	0.000000	2.000000	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	seconds	0.016759	0.000017	0.082479	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	minutes	0.001259	0.000017	0.006059	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	hours	0.000182	0.000043	0.000802	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	days	0.000019	0.000034	0.000100	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	months	0.000006	0.000000	0.000020	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	seconds	0.039065	0.000030	0.181447	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	minutes	0.001466	0.000028	0.006459	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	hours	0.000153	0.000042	0.000792	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	days	0.000020	0.000054	0.000101	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	months	0.000006	0.000059	0.000020	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	minutes	seconds	0.059287	0.000034	0.302869	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	minutes	minutes	0.002833	0.000028	0.013667	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	minutes	hours	0.000172	0.000046	0.000874	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	minutes	days	0.000019	0.000055	0.000109	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	minutes	months	0.000006	0.000051	0.000020	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	hours	seconds	0.065902	0.000018	0.321663	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	hours	minutes	0.005452	0.000024	0.027899	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	hours	hours	0.000331	0.000028	0.001739	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	hours	days	0.000021	0.000043	0.000116	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	hours	months	0.000005	0.000059	0.000022	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	days	seconds	0.057494	0.000023	0.323731	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	days	minutes	0.008375	0.000030	0.036850	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	days	hours	0.001016	0.000030	0.004762	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	days	days	0.000056	0.000043	0.000240	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	days	months	0.000005	0.000041	0.000026	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	months	seconds	0.045650	0.000018	0.323814	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	months	minutes	0.007183	0.000023	0.037728	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	months	hours	0.001479	0.000036	0.006810	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	months	days	0.000116	0.000025	0.000523	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	months	months	0.000012	0.000030	0.000048	0.000000
rationalPower1,4,4,1	302	313814094	COUNT	years	seconds	0.495028	0.000000	2.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	seconds	0.021083	0.000017	0.008292	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	minutes	0.001362	0.000034	0.000276	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	hours	0.000190	0.000217	0.000019	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	days	0.000022	0.000034	0.000001	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	months	0.000005	0.000364	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	seconds	0.053783	0.000028	0.044561	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	minutes	0.001547	0.000029	0.000286	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	hours	0.000147	0.000039	0.000019	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	days	0.000024	0.000053	0.000001	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	months	0.000005	0.000062	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	minutes	seconds	0.076427	0.000032	0.048002	0.000000
rationalPower1,4,4,1	302	313814094	SUM	minutes	minutes	0.002969	0.000026	0.000425	0.000000
rationalPower1,4,4,1	302	313814094	SUM	minutes	hours	0.000185	0.000042	0.000020	0.000000
rationalPower1,4,4,1	302	313814094	SUM	minutes	days	0.000023	0.000065	0.000001	0.000000
rationalPower1,4,4,1	302	313814094	SUM	minutes	months	0.000005	0.000074	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	hours	seconds	0.093653	0.000033	0.048439	0.000000
rationalPower1,4,4,1	302	313814094	SUM	hours	minutes	0.006094	0.000013	0.000599	0.000000
rationalPower1,4,4,1	302	313814094	SUM	hours	hours	0.000318	0.000025	0.000028	0.000000
rationalPower1,4,4,1	302	313814094	SUM	hours	days	0.000023	0.000031	0.000001	0.000000
rationalPower1,4,4,1	302	313814094	SUM	hours	months	0.000005	0.000051	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	days	seconds	0.081453	0.000021	0.048489	0.000000
rationalPower1,4,4,1	302	313814094	SUM	days	minutes	0.009493	0.000032	0.000676	0.000000
rationalPower1,4,4,1	302	313814094	SUM	days	hours	0.001124	0.000034	0.000046	0.000000
rationalPower1,4,4,1	302	313814094	SUM	days	days	0.000057	0.000024	0.000002	0.000000
rationalPower1,4,4,1	302	313814094	SUM	days	months	0.000006	0.000022	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	months	seconds	0.053595	0.000037	0.048487	0.000000
rationalPower1,4,4,1	302	313814094	SUM	months	minutes	0.007877	0.000028	0.000682	0.000000
rationalPower1,4,4,1	302	313814094	SUM	months	hours	0.001612	0.000004	0.000055	0.000000
rationalPower1,4,4,1	302	313814094	SUM	months	days	0.000130	0.000022	0.000003	0.000000
rationalPower1,4,4,1	302	313814094	SUM	months	months	0.000014	0.000091	0.000000	0.000000
rationalPower1,4,4,1	302	313814094	SUM	years	seconds	0.984673	0.000000	2.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	seconds	0.017227	0.000000	0.063897	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	minutes	0.001031	0.000017	0.004608	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	hours	0.000132	0.000000	0.000599	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	days	0.000016	0.000034	0.000075	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	months	0.000004	0.000091	0.000014	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	seconds	0.032151	0.000001	0.164564	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	minutes	0.001053	0.000005	0.005002	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	hours	0.000103	0.000006	0.000593	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	days	0.000015	0.000022	0.000074	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	months	0.000004	0.000096	0.000014	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	seconds	0.056094	0.000002	0.290218	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	minutes	0.002217	0.000003	0.010807	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	hours	0.000139	0.000008	0.000668	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	days	0.000016	0.000023	0.000083	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	months	0.000004	0.000074	0.000015	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	seconds	0.065156	0.000001	0.319632	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	minutes	0.004754	0.000002	0.024306	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	hours	0.000278	0.000004	0.001310	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	days	0.000018	0.000021	0.000090	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	months	0.000003	0.000047	0.000017	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	days	seconds	0.056738	0.000002	0.323633	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	days	minutes	0.008179	0.000002	0.036239	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	days	hours	0.000804	0.000003	0.004041	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	days	days	0.000039	0.000010	0.000183	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	days	months	0.000004	0.000066	0.000020	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	months	seconds	0.045752	0.000002	0.323795	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	months	minutes	0.007264	0.000000	0.037645	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	months	hours	0.001381	0.000000	0.006388	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	months	days	0.000091	0.000009	0.000416	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	months	months	0.000011	0.000045	0.000041	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	years	seconds	0.495029	0.000000	2.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	seconds	0.019598	0.000000	0.007298	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	minutes	0.001150	0.000000	0.000241	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	hours	0.000158	0.000348	0.000016	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	days	0.000019	0.000034	0.000001	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	months	0.000004	0.000091	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	subsecond	years	0.000000	0.002000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	seconds	0.043517	0.000003	0.044081	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	minutes	0.001151	0.000006	0.000253	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	hours	0.000125	0.000014	0.000016	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	days	0.000019	0.000025	0.000001	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	months	0.000004	0.000057	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	seconds	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	minutes	seconds	0.074658	0.000002	0.047759	0.000000
rationalPower1,4,8,1	521	313814094	SUM	minutes	minutes	0.002338	0.000003	0.000378	0.000000
rationalPower1,4,8,1	521	313814094	SUM	minutes	hours	0.000152	0.000008	0.000017	0.000000
rationalPower1,4,8,1	521	313814094	SUM	minutes	days	0.000017	0.000026	0.000001	0.000000
rationalPower1,4,8,1	521	313814094	SUM	minutes	months	0.000004	0.000076	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	hours	seconds	0.093350	0.000002	0.048371	0.000000
rationalPower1,4,8,1	521	313814094	SUM	hours	minutes	0.005592	0.000001	0.000562	0.000000
rationalPower1,4,8,1	521	313814094	SUM	hours	hours	0.000311	0.000004	0.000024	0.000000
rationalPower1,4,8,1	521	313814094	SUM	hours	days	0.000021	0.000019	0.000001	0.000000
rationalPower1,4,8,1	521	313814094	SUM	hours	months	0.000004	0.000095	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	days	seconds	0.080543	0.000002	0.048485	0.000000
rationalPower1,4,8,1	521	313814094	SUM	days	minutes	0.009442	0.000002	0.000671	0.000000
rationalPower1,4,8,1	521	313814094	SUM	days	hours	0.000952	0.000001	0.000043	0.000000
rationalPower1,4,8,1	521	313814094	SUM	days	days	0.000047	0.000005	0.000002	0.000000
rationalPower1,4,8,1	521	313814094	SUM	days	months	0.000005	0.000075	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	months	seconds	0.053631	0.000002	0.048487	0.000000
rationalPower1,4,8,1	521	313814094	SUM	months	minutes	0.008005	0.000003	0.000682	0.000000
rationalPower1,4,8,1	521	313814094	SUM	months	hours	0.001443	0.000004	0.000053	0.000000
rationalPower1,4,8,1	521	313814094	SUM	months	days	0.000101	0.000009	0.000003	0.000000
rationalPower1,4,8,1	521	313814094	SUM	months	months	0.000013	0.000015	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	SUM	years	seconds	0.984675	0.000000	2.000000	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	seconds	0.009603	0.000271	0.048803	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	minutes	0.000746	0.000017	0.003526	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	hours	0.000107	0.000217	0.000454	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	days	0.000012	0.000034	0.000059	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	months	0.000004	0.000091	0.000013	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	seconds	0.028560	0.000004	0.147470	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	minutes	0.000801	0.000027	0.003915	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	hours	0.000076	0.000031	0.000432	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	days	0.000013	0.000064	0.000059	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	months	0.000004	0.000105	0.000013	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	minutes	seconds	0.050382	0.000004	0.272255	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	minutes	minutes	0.001725	0.000004	0.008253	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	minutes	hours	0.000103	0.000031	0.000517	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	minutes	days	0.000010	0.000034	0.000059	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	minutes	months	0.000004	0.000079	0.000013	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	hours	seconds	0.065833	0.000009	0.317097	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	hours	minutes	0.004037	0.000014	0.020736	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	hours	hours	0.000183	0.000008	0.000990	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	hours	days	0.000013	0.000028	0.000066	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	hours	months	0.000003	0.000032	0.000013	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	days	seconds	0.056943	0.000006	0.323385	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	days	minutes	0.007423	0.000007	0.035185	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	days	hours	0.000713	0.000000	0.003297	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	days	days	0.000031	0.000006	0.000140	0.000000
rationalPower1,4,16,1	889	313814094	COUNT	days	months	0.000003	0.000034	0.000015	0.000000
